Time,Store name,Product name,PID,robotMAC,Activated on,unbound,Small screen play time(h),Number of small screen plays,Large screen play time(h),Number of large screen plays
2023-02-28,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,10.77,3877
2023-02-28,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,13.36,3297
2023-02-28,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.00,0,15.38,14604
2023-02-28,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,3.30,2378
2023-02-27,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.00,0,14.86,14826
2023-02-27,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,11.43,8229
2023-02-27,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,8.93,2202
2023-02-27,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,1.91,1376
2023-02-26,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,13.16,3247
2023-02-26,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,7.65,2753
2023-02-26,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.00,0,15.59,15733
2023-02-26,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,0.96,688
2023-02-26,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,21.92,15783
2023-02-25,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,9.04,2230
2023-02-25,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.00,0,14.95,16347
2023-02-25,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,13.72,9878
2023-02-24,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,15.21,10952
2023-02-24,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,11.79,2908
2023-02-24,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.00,0,15.11,15219
2023-02-23,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,1.55,383
2023-02-23,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,3.77,2712
2023-02-23,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,12.56,3098
2023-02-23,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.00,0,24.31,27046
2023-02-23,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,9.22,6636
2023-02-22,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.00,0,14.01,16817
2023-02-22,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,9.32,3355
2023-02-22,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,7.97,1965
2023-02-22,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,11.81,8502
2023-02-22,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,0.96,688
2023-02-21,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,12.62,9085
2023-02-21,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,8.07,2905
2023-02-21,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.00,0,0.00,1
2023-02-21,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,0.96,689
2023-02-20,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,13.98,10062
2023-02-19,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,11.13,8015
2023-02-18,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,13.98,10068
2023-02-18,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,11.68,2883
2023-02-17,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,12.12,8724
2023-02-17,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,3.60,888
2023-02-17,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,10.72,3859
2023-02-16,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.00,0,13.08,15692
2023-02-16,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,8.19,2947
2023-02-16,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,11.56,2854
2023-02-15,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,14.88,3674
2023-02-15,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.00,0,13.53,16239
2023-02-15,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,11.61,4180
2023-02-14,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,10.42,7501
2023-02-14,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,9.75,3511
2023-02-14,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.00,0,13.58,16301
2023-02-14,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,14.50,3580
2023-02-13,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.00,0,22.15,26577
2023-02-13,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,7.97,2870
2023-02-13,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,15.80,3901
2023-02-13,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,12.88,9272
2023-02-12,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,10.99,2670
2023-02-12,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,6.53,2351
2023-02-12,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,0.71,512
2023-02-12,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.00,0,13.86,16627
2023-02-11,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,5.02,1806
2023-02-11,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,6.09,1482
2023-02-11,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.00,0,13.23,15875
2023-02-10,Parmesan,kettybot,PNT102213716164,20:50:E7:23:69:5C,2022-07-07 10:21:33,false,0.00,0,0.13,91
2023-02-10,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,20.14,7251
2023-02-10,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,10.46,2546
2023-02-10,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.00,0,13.76,16508
2023-02-09,Агрокомплекс,kettybot,PNT102213716166,20:50:E7:02:24:CE,2022-10-16 11:06:33,false,0.00,0,7.42,5343
2023-02-09,Soft-Stend,kettybot,PNT102213716171,20:50:E7:02:36:F8,2022-10-05 08:59:29,false,0.00,0,0.03,19
2023-02-09,Агрокомплекс,kettybot,PNT002212954049,20:50:E7:23:A8:6A,2022-10-16 11:06:36,false,0.00,0,1.09,785
2023-02-09,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.00,0,1.29,1549
2023-02-09,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,8.93,3213
2023-02-09,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,3.46,843
2023-02-08,Агрокомплекс,kettybot,PNT002212954049,20:50:E7:23:A8:6A,2022-10-16 11:06:36,false,0.00,0,5.64,4058
2023-02-08,Агрокомплекс,kettybot,PNT102213716166,20:50:E7:02:24:CE,2022-10-16 11:06:33,false,0.00,0,6.76,4868
2023-02-08,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,10.64,2510
2023-02-08,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,2.88,1037
2023-02-08,Soft-Stend,kettybot,PNT102213716171,20:50:E7:02:36:F8,2022-10-05 08:59:29,false,0.00,0,3.98,2866
2023-02-07,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,4.28,1009
2023-02-07,Агрокомплекс,kettybot,PNT002212954049,20:50:E7:23:A8:6A,2022-10-16 11:06:36,false,0.00,0,4.20,3021
2023-02-07,Soft-Stend,kettybot,PNT102213716171,20:50:E7:02:36:F8,2022-10-05 08:59:29,false,0.00,0,6.76,4867
2023-02-07,Агрокомплекс,kettybot,PNT102213716166,20:50:E7:02:24:CE,2022-10-16 11:06:33,false,0.00,0,3.76,2705
2023-02-06,Soft-Stend,kettybot,PNT102213716171,20:50:E7:02:36:F8,2022-10-05 08:59:29,false,0.00,0,8.00,5758
2023-02-06,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,8.92,2104
2023-02-06,Агрокомплекс,kettybot,PNT002212954049,20:50:E7:23:A8:6A,2022-10-16 11:06:36,false,0.00,0,8.31,5983
2023-02-06,Агрокомплекс,kettybot,PNT102213716166,20:50:E7:02:24:CE,2022-10-16 11:06:33,false,0.00,0,7.53,5422
2023-02-06,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,10.04,3616
2023-02-05,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,3.24,765
2023-02-05,Агрокомплекс,kettybot,PNT002212954049,20:50:E7:23:A8:6A,2022-10-16 11:06:36,false,0.00,0,0.81,247
2023-02-05,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,4.30,1547
2023-02-05,Агрокомплекс,kettybot,PNT102213716166,20:50:E7:02:24:CE,2022-10-16 11:06:33,false,0.00,0,1.43,1033
2023-02-05,Soft-Stend,kettybot,PNT102213716171,20:50:E7:02:36:F8,2022-10-05 08:59:29,false,0.00,0,1.71,1232
2023-02-04,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,9.37,2211
2023-02-03,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,5.33,1917
2023-02-03,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,7.46,1761
2023-02-03,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.00,0,13.13,15760
2023-02-02,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.00,0,12.82,15385
2023-02-02,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,6.01,1418
2023-02-02,Soft-servis,kettybot,PNT102213716165,20:50:E7:02:36:E0,2023-01-17 14:08:17,false,0.00,0,0.32,231
2023-02-02,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,7.02,2527
2023-02-01,Soft-servis,kettybot,PNT102213716165,20:50:E7:02:36:E0,2023-01-17 14:08:17,false,0.00,0,5.72,4120
2023-02-01,Динозаврия,kettybot,PNT102213716159,20:50:E7:23:96:70,2022-10-13 08:47:47,false,0.00,0,8.14,1920
2023-02-01,Neo,kettybot,PNT102213716170,20:50:E7:02:F3:3E,2022-12-09 14:42:33,false,0.00,0,13.41,16094
2023-02-01,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.00,0,12.06,4340
