Time,Store name,Product name,PID,robotMAC,Activated on,unbound,Running Mileage(km),Runtime(h),Interactive Visits,Interaction time(h)
2023-02-28,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,8.51,5.60,0,0.00
2023-02-28,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,2.02,1.30,0,0.00
2023-02-27,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,3.32,2.08,0,0.00
2023-02-26,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,1.07,0.64,0,0.00
2023-02-26,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,3.48,2.04,0,0.00
2023-02-25,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.45,0.29,0,0.00
2023-02-24,Gastreet_panorama,bellabot,SV1000211931012,D4:12:43:B0:D5:68,2021-05-30 16:00:00,false,0.26,0.14,0,0.00
2023-02-24,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.42,2.20,0,0.00
2023-02-24,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.89,0.61,0,0.00
2023-02-24,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,2.56,1.68,0,0.00
2023-02-23,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,2.38,1.53,0,0.00
2023-02-23,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.05,0.03,0,0.00
2023-02-23,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.57,2.62,0,0.00
2023-02-22,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.39,0.26,0,0.00
2023-02-22,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,3.10,2.03,0,0.00
2023-02-21,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.06,0.40,0,0.00
2023-02-21,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.32,0.21,0,0.00
2023-02-21,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,3.28,2.00,0,0.00
2023-02-20,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,3.32,2.16,0,0.00
2023-02-20,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,6.77,4.24,0,0.00
2023-02-19,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,11.09,8.49,0,0.00
2023-02-19,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.50,0.29,0,0.00
2023-02-19,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.15,0.76,0,0.00
2023-02-18,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.48,5.78,0,0.00
2023-02-18,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.77,0.50,0,0.00
2023-02-18,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,2.06,1.34,0,0.00
2023-02-17,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,2.09,1.39,0,0.00
2023-02-17,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,1.37,0.91,0,0.00
2023-02-17,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.58,5.33,0,0.00
2023-02-16,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.29,0.18,0,0.00
2023-02-16,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,4.22,2.48,0,0.00
2023-02-16,Soft-servis,bellabot,SV1000214017012,D4:12:43:C3:87:66,2022-03-05 08:05:46,false,1.00,0.59,0,0.00
2023-02-15,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,2.62,1.79,0,0.00
2023-02-15,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.98,4.04,0,0.00
2023-02-15,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.41,0.26,0,0.00
2023-02-14,Baltiya Hotel,kettybot,PNT102213716158,20:50:E7:02:12:A8,2022-02-03 06:43:09,false,0.20,0.13,0,0.00
2023-02-14,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,7.18,4.86,0,0.00
2023-02-14,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.86,6.54,0,0.00
2023-02-14,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.11,0.08,0,0.00
2023-02-13,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.38,0.24,0,0.00
2023-02-13,Soft-servis,bellabot,SV1000214017012,D4:12:43:C3:87:66,2022-03-05 08:05:46,false,0.30,0.18,0,0.00
2023-02-13,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,1.28,10.64,0,0.00
2023-02-13,Fun Jump Kazan,bellabot,sv1000213943015,20:50:E7:23:95:7C,2022-08-04 05:52:44,false,0.02,0.01,0,0.00
2023-02-13,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,1.94,1.16,0,0.00
2023-02-12,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,1.41,0.93,0,0.00
2023-02-12,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.90,4.03,0,0.00
2023-02-11,Chajhana hariba,bellabot,SV1000212641025,D4:12:43:C3:D0:88,2022-02-06 22:49:35,false,0.76,0.33,0,0.00
2023-02-11,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,0.01,0.01,0,0.00
2023-02-11,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.72,2.92,0,0.00
2023-02-11,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,1.34,0.87,0,0.00
2023-02-10,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.67,0.45,0,0.00
2023-02-09,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,3.66,2.30,0,0.00
2023-02-09,Chajhana hariba,bellabot,SV1000212641025,D4:12:43:C3:D0:88,2022-02-06 22:49:35,false,0.23,0.14,0,0.00
2023-02-09,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,1.67,1.02,0,0.00
2023-02-09,Агрокомплекс,kettybot,PNT002212954049,20:50:E7:23:A8:6A,2022-10-16 11:06:36,false,0.40,0.43,0,0.00
2023-02-09,Агрокомплекс,kettybot,PNT102213716166,20:50:E7:02:24:CE,2022-10-16 11:06:33,false,10.18,7.63,0,0.00
2023-02-08,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.09,0.07,0,0.00
2023-02-08,Агрокомплекс,kettybot,PNT102213716166,20:50:E7:02:24:CE,2022-10-16 11:06:33,false,5.06,4.86,0,0.00
2023-02-08,Агрокомплекс,kettybot,PNT002212954049,20:50:E7:23:A8:6A,2022-10-16 11:06:36,false,3.91,3.42,0,0.00
2023-02-08,Soft-Stend,kettybot,PNT102213716171,20:50:E7:02:36:F8,2022-10-05 08:59:29,false,3.00,2.59,0,0.00
2023-02-08,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,2.65,1.72,0,0.00
2023-02-08,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,1.19,4.51,0,0.00
2023-02-07,Soft-servis,bellabot,SV1000214017012,D4:12:43:C3:87:66,2022-03-05 08:05:46,false,0.58,0.35,0,0.00
2023-02-07,Soft-Stend,kettybot,PNT102213716171,20:50:E7:02:36:F8,2022-10-05 08:59:29,false,2.66,3.60,0,0.00
2023-02-07,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.47,2.09,0,0.00
2023-02-07,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,1.11,0.82,0,0.00
2023-02-07,Агрокомплекс,kettybot,PNT002212954049,20:50:E7:23:A8:6A,2022-10-16 11:06:36,false,4.26,3.08,0,0.00
2023-02-07,Агрокомплекс,kettybot,PNT102213716166,20:50:E7:02:24:CE,2022-10-16 11:06:33,false,1.20,1.81,0,0.00
2023-02-06,Soft-Stend,kettybot,PNT102213716171,20:50:E7:02:36:F8,2022-10-05 08:59:29,false,3.91,5.04,0,0.00
2023-02-06,Gastreet_panorama,bellabot,SV1000211931012,D4:12:43:B0:D5:68,2021-05-30 16:00:00,false,0.14,0.11,0,0.00
2023-02-06,Soft-servis,bellabot,SV1000214017012,D4:12:43:C3:87:66,2022-03-05 08:05:46,false,1.69,1.04,0,0.00
2023-02-06,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.12,0.09,0,0.00
2023-02-06,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.34,4.48,0,0.00
2023-02-06,Агрокомплекс,kettybot,PNT102213716166,20:50:E7:02:24:CE,2022-10-16 11:06:33,false,5.16,4.57,12,0.01
2023-02-06,Агрокомплекс,kettybot,PNT002212954049,20:50:E7:23:A8:6A,2022-10-16 11:06:36,false,5.35,4.70,0,0.00
2023-02-06,Fun Jump Kazan,bellabot,sv1000213943015,20:50:E7:23:95:7C,2022-08-04 05:52:44,false,0.03,0.02,0,0.00
2023-02-05,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,1.93,1.31,0,0.00
2023-02-05,Soft-servis,bellabot,SV1000214017012,D4:12:43:C3:87:66,2022-03-05 08:05:46,false,0.22,0.14,0,0.00
2023-02-05,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.36,1.58,0,0.00
2023-02-05,Chajhana hariba,bellabot,SV1000212641025,D4:12:43:C3:D0:88,2022-02-06 22:49:35,false,0.89,0.36,0,0.00
2023-02-04,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,1.06,4.32,0,0.00
2023-02-04,Soft-servis,bellabot,SV1000214017012,D4:12:43:C3:87:66,2022-03-05 08:05:46,false,0.41,0.47,0,0.00
2023-02-04,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,4.53,2.62,0,0.00
2023-02-03,Soft-servis,bellabot,SV1000214017012,D4:12:43:C3:87:66,2022-03-05 08:05:46,false,0.88,0.63,0,0.00
2023-02-03,Soft-servis,bellabot,SV1000214017034,20:50:E7:02:BE:0C,2022-03-09 07:24:36,false,0.03,0.02,0,0.00
2023-02-02,Soft-Stend,pudubot,PD9152213661023,20:50:E7:02:AC:9C,2022-10-05 09:06:17,false,0.00,0.01,0,0.00
2023-02-02,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.03,0.05,0,0.00
2023-02-01,Санаторий Заполярье,pudubot,PD9152213661013,20:50:E7:02:D2:28,2022-07-07 07:18:30,false,0.04,0.10,0,0.00
2023-02-01,Soft-servis,bellabot,SV1000214017033,20:50:E7:02:FD:36,2022-07-08 11:21:08,false,5.13,3.17,0,0.00
2023-02-01,Gastreet_panorama,bellabot,SV1000211931012,D4:12:43:B0:D5:68,2021-05-30 16:00:00,false,0.02,0.03,0,0.00
